Customer Id,Customer,Customer Phone,Customer Email,Location Code,Opened Date,Opened Time,Item Description,Server,Tax,Tender,Check Id,Check #,Total,Customer Family,Table Size,Discount,Reason of Discount,Link
,,,,,4/10/24,4:27 PM,"Tenderloin, Tenderloin, Cheese Curds",Bartender A,0.69,Cash,900000004019159010,1,11.69,,1,11.0,Employee Discount - Check (50.00%),http://www.toasttab.com/receipts/zFAL5xUfLveDnRh3/yYBPtztIyXfP2JuX
,,,,,4/10/24,4:28 PM,"Keystone Light, Can",Bartender A,0.12,Cash,900000004019190488,2,2.0,,1,0.0,,http://www.toasttab.com/receipts/uL4zg76If9qgDZsl/73zj8OcXLxECm5i7
,,,,,4/10/24,4:42 PM,"Keystone Light, Can",Bartender A,0.12,Cash,900000004019557062,3,2.0,,1,0.0,,http://www.toasttab.com/receipts/K9cKYm1sd7Jsj4OW/tEL9QPAeiSz39l8m
,,,,,4/10/24,5:01 PM,"Keystone Light, Can, Barefoot Singles, Guiness Nitro Draft, Barefoot Singles, Busch Light, Draft, Barefoot Singles",Bartender A,1.37,Cash,900000004020053804,4,23.25,,1,0.0,,http://www.toasttab.com/receipts/pfWwArBsgz0sPvym/xqb0vYcLYS7Y0lEx
,,,,,4/10/24,5:43 PM,"Busch Light, Draft",Bartender A,0.21,Cash,900000004021390074,6,3.5,,1,0.0,,http://www.toasttab.com/receipts/v0Hi768i5Kg6RWO8/IHMFqQVPfKwZeNev
,,,,,4/10/24,5:50 PM,"Pepsi, Water, Tea - Sweet, Bacon Cheese Burger, Onion Rings, Fried Beef Tacos, Fried Beef Tacos, Chips & Salsa",Bartender A,2.11,Cash,900000004021631622,7,35.56,,1,0.0,,http://www.toasttab.com/receipts/5fRBS8TOgqRYmn74/5yusLUkrWG1wsA9z
,,,,,4/10/24,6:00 PM,"Busch Light, Draft, Tea - Unsweet, Fried Beef Tacos, Wings, Cheeseburger, Shiner Bock, Bottle",Bartender A,1.8,Cash,900000004021964266,8,30.45,,1,0.0,,http://www.toasttab.com/receipts/u9sc5y2OOVDYw2ea/PsutCP1QLFA9OCYF
,,,,,4/10/24,6:07 PM,Blue Moon,Bartender A,0.24,Cash,900000004022191857,9,4.0,,1,0.0,,http://www.toasttab.com/receipts/cZwFAVmiSky6lnJn/b5R7nrr27KNTjnFO
,,,,,4/10/24,6:16 PM,"Busch Light, Bottle, Busch Light, Bottle, Tenderloin, Curly Fries, Cheeseburger, Onion Rings, Busch Light, Bottle",Bartender A,1.91,Cash,900000004022520271,11,32.28,,1,0.0,,http://www.toasttab.com/receipts/MfqrWeuVNJubcPFj/q1ARg4sIvsismwbW
,,,,,4/10/24,6:47 PM,"Pepsi, Busch Light, Can, House Salad, Fried Mushrooms, Bacon Cheese Burger, Tater Tots",Bartender A,1.85,Amex,900000004023552886,12,37.18,,1,0.0,,http://www.toasttab.com/receipts/H8ealVZxzovpipCm/1ZBt4jhnL0EFDWHu
,,,,,4/10/24,6:48 PM,"Tea - Unsweet, Pepsi, Tea - Sweet, Boneless Wings, Boneless Wings, Tenderloin",Bartender A,1.95,Visa,900000004023591929,13,33.0,,1,0.0,,http://www.toasttab.com/receipts/MXLirREEl6fkn6Rn/lggwqvLpkpNGntpv
,,,,,4/10/24,7:05 PM,"Shiner Bock, Bottle, Old Milwaukee Light, Can",Bartender A,0.36,Cash,900000004024146130,14,6.0,,1,0.0,,http://www.toasttab.com/receipts/mmuN6jq910qOZsEG/FBgTtmsrqHSelU2V
,,,,,4/10/24,7:08 PM,"Fried Beef Tacos, Fried Beef Tacos, Fried Beef Tacos",Bartender A,1.41,Cash,900000004024227001,15,23.91,,1,0.0,,http://www.toasttab.com/receipts/KknCUy3XF8OIaXMU/lUcbz1GGrO0gjt9Q
,,,,,4/10/24,7:14 PM,"Old Milwaukee Light, Can",Bartender A,0.12,Cash,900000004024410749,16,2.0,,1,0.0,,http://www.toasttab.com/receipts/f3c8EVyQAYEWdBj5/lvDyvucotUQBnCcp
,,,,,4/10/24,7:23 PM,"Chips & Salsa, Fried Beef Tacos, Fried Beef Tacos, Chicken Strips, Old Milwaukee Light, Can, Busch Light, Bottle",Bartender A,1.85,Mastercard,900000004024702794,17,31.27,,1,0.0,,http://www.toasttab.com/receipts/DvFaczS0GlZkGkwd/ITj6zxxEsw60EgNd
,,,,,4/10/24,7:27 PM,Water,Bartender A,0.0,,900000004024825700,18,0.0,,1,0.0,,
,,,,,4/10/24,7:31 PM,"Michelob Ultra, Can",Bartender A,0.21,Cash,900000004024930392,19,3.5,,1,0.0,,http://www.toasttab.com/receipts/KqbkP5BHOIqeYRze/SsUPZGxokfQN5sEY
,,,,,4/10/24,7:32 PM,"Old Milwaukee Light, Can",Bartender A,0.12,Cash,900000004024951121,20,2.0,,1,0.0,,http://www.toasttab.com/receipts/3YbfaEcOu5ioDwmR/kjaq57FXPl0m0fYL
,,,,,4/10/24,7:39 PM,"Old Milwaukee Light, Can",Bartender A,0.12,Cash,900000004025159789,21,2.0,,1,0.0,,http://www.toasttab.com/receipts/MTReRQMvIWBM5xxN/P4kTiwZ0u7kMbFR9
,,,,,4/10/24,7:55 PM,"Fried Cauliflower, Tenderloin",Bartender A,0.82,Mastercard,900000004025594041,22,16.42,,1,0.0,,http://www.toasttab.com/receipts/esjHrxnQ3hQ0rO8e/8wJ8i524GDUYU0G5
,,,,,4/10/24,7:55 PM,Fried Beef Tacos,Bartender A,0.38,Cash,900000004025594042,23,6.38,,1,0.0,,http://www.toasttab.com/receipts/2x3al3SCBeND4sMu/VbMxGTmg8tDYGNIJ
,,,,,4/10/24,7:55 PM,"Cheeseburger, Onion Rings",Bartender A,0.56,Cash,900000004025594043,24,9.56,,1,0.0,,http://www.toasttab.com/receipts/RNDJ3EFuejYPyXnr/P4QOG6m0KYSsrIDj
,,,,,4/10/24,7:59 PM,"Fried Beef Tacos, Fried Beef Tacos",Bartender A,0.69,Cash,900000004025704245,25,11.69,,1,0.0,,http://www.toasttab.com/receipts/HksrLMYe0LOIhIUO/R174HWLrP06W92UL
,,,,,4/10/24,8:01 PM,"Old Milwaukee Light, Can",Bartender A,0.12,Cash,900000004025769316,26,2.0,,1,0.0,,http://www.toasttab.com/receipts/myfg7hc7orYqebZO/Dey0yprpFhJXTDPW
,,,,,4/10/24,8:02 PM,"Michelob Ultra, Can",Bartender A,0.21,Cash,900000004025778557,27,3.5,,1,0.0,,http://www.toasttab.com/receipts/SUJx1ghbmquwnxEW/K6VqOdeeebWnIDqK
,,,,,4/10/24,8:02 PM,"Fried Beef Tacos, Fried Beef Tacos",Bartender A,0.41,Cash,900000004025794495,28,6.91,,1,0.0,,http://www.toasttab.com/receipts/c81ZlgiCKIfqi6vC/zTlAwST6yerYfysq
,,,,,4/10/24,8:08 PM,"Old Milwaukee Light, Can",Bartender A,0.12,Cash,900000004025928199,29,2.0,,1,0.0,,http://www.toasttab.com/receipts/bMCTQKMDWhaVoNJx/LYBgTMKw2gaaQFam
,,,,,,,,Bartender A,0.0,,900000004026110086,30,0.0,,1,0.0,,
,,,,,4/10/24,8:16 PM,Fried Beef Tacos,Bartender A,0.34,Cash,900000004026136101,31,5.84,,1,0.0,,http://www.toasttab.com/receipts/8oVDITtlHVTL1GJA/LPKTdPYnN8QSkWB0
,,,,,4/10/24,8:16 PM,Dr. McGillicuddy's Cherry SGL,Bartender A,0.21,Cash,900000004026143275,32,3.5,,1,0.0,,http://www.toasttab.com/receipts/83ljh3GfDijgpwH1/SA8sE3Kznea6OSkR
,,,,,4/10/24,8:29 PM,Cheese Curds,Bartender A,0.0,,900000004026443992,33,0.0,,1,0.0,,
,,,,,4/10/24,8:35 PM,"Old Milwaukee Light, Can",Bartender A,0.12,Cash,900000004026572082,34,2.0,,1,0.0,,http://www.toasttab.com/receipts/0NWcnpnDjAevO73Z/xqC7E9ETNHNDidnu
,,,,,4/10/24,8:53 PM,"Busch Light, Can",Bartender A,0.16,Cash,900000004026948947,35,2.75,,1,0.0,,http://www.toasttab.com/receipts/rtdCmiJx6Qk5Ny8G/1fJJhyV2pdM3dIq7
,,,,,4/10/24,9:21 PM,"Miller Lite, Bottle",Bartender A,0.21,Cash,900000004027430788,36,3.5,,1,0.0,,http://www.toasttab.com/receipts/SbUWIwj2A9QcE4C1/5QaCB7xnYchTZERd
,,,,,4/10/24,9:23 PM,"Canadian Club SGL, Miller Lite, Bottle, Busch Light, Can",Bartender A,0.62,Cash,900000004027461146,37,10.5,,1,0.0,,http://www.toasttab.com/receipts/rqo4xRmWA1BbeRWj/dmndhrsBnuBc3L9i
,,,,,4/10/24,9:46 PM,"Miller Lite, Bottle, Miller Lite, Bottle, Canadian Club SGL, Busch Light, Can",Bartender A,0.83,Visa,900000004027801586,38,16.9,,1,0.0,,http://www.toasttab.com/receipts/gRWkAGWzjYlcLZp1/eobuSJeqRzx6aG9G
,,,,,4/10/24,9:52 PM,"Michelob Ultra, Bottle",Bartender A,0.22,Cash,900000004027882837,39,3.75,,1,0.0,,http://www.toasttab.com/receipts/m1fUD23ADgRET0Rc/Erl1B2pmMb8w6uxC
